review_id,customer_id,submitted_date,flown_date,origin_location_id,destination_location_id,transit_location_id,aircraft_id,airline,verified,seat_type,type_of_traveller,seat_comfort,cabin_staff_service,food_and_beverages,inflight_entertainment,ground_service,wifi_and_connectivity,value_for_money,recommended,average_rating,rating_band,el_updated_at,t_updated_at
132638,667,1/2/2023,1/1/2023,3958,2756,1147,42,American Airlines,TRUE,Premium Economy,Solo Leisure,3,5,2,1,1,1,1,FALSE,2,medium,36:29.0,18:17.5
96502,750,6/7/2019,6/1/2019,1147,3971,4740,42,American Airlines,TRUE,Economy Class,Couple Leisure,3,1,1,1,1,1,1,FALSE,1.29,bad,36:29.0,18:17.5
98587,1149,7/23/2019,7/1/2019,345,4884,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,3,5,3,1,1,1,3,FALSE,2.43,medium,36:29.0,18:17.5
122269,1281,4/23/2022,4/1/2022,3408,275,1092,42,American Airlines,FALSE,Economy Class,Business,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
69716,2086,8/24/2017,8/1/2017,4884,2584,4740,42,American Airlines,FALSE,Premium Economy,Couple Leisure,4,5,4,Null,5,Null,5,TRUE,4.6,good,36:29.0,18:17.5
96415,2086,6/5/2019,6/1/2019,2501,2460,4740,42,American Airlines,TRUE,Economy Class,Family Leisure,1,1,1,1,1,1,1,FALSE,1,bad,36:29.0,18:17.5
105975,2227,1/5/2020,1/1/2020,834,3850,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,1,4,3,Null,1,1,1,FALSE,1.83,bad,36:29.0,18:17.5
115544,2384,8/4/2021,6/1/2021,2189,1092,4740,42,American Airlines,FALSE,Economy Class,Family Leisure,3,1,Null,Null,1,Null,1,FALSE,1.5,bad,36:29.0,18:17.5
128061,2388,9/13/2022,9/1/2022,2576,4049,2633,42,American Airlines,TRUE,Economy Class,Couple Leisure,2,2,1,3,1,Null,1,FALSE,1.67,bad,36:29.0,18:17.5
67908,2644,7/4/2017,7/1/2017,3483,864,4740,42,American Airlines,FALSE,Premium Economy,Couple Leisure,3,1,Null,Null,3,Null,2,FALSE,2.25,medium,36:29.0,18:17.5
35702,3072,1/23/2015,Null,4740,4740,4740,42,American Airlines,FALSE,Economy Class,Null,2,5,5,1,Null,Null,3,TRUE,3.2,medium,36:29.0,18:17.5
43884,3072,9/3/2015,8/1/2015,1092,1590,2857,32,American Airlines,FALSE,Economy Class,Solo Leisure,4,5,4,5,2,4,4,TRUE,4,good,36:29.0,18:17.5
129209,3157,10/9/2022,9/1/2022,1610,592,4740,42,American Airlines,FALSE,Premium Economy,Family Leisure,1,3,1,3,2,Null,1,FALSE,1.83,bad,36:29.0,18:17.5
127601,3362,9/1/2022,8/1/2022,3483,2857,4740,42,American Airlines,TRUE,Economy Class,Solo Leisure,3,5,5,Null,1,Null,1,FALSE,3,medium,36:29.0,18:17.5
